"","FBspecies","a","b","Locality"
"112","Siganus rivulatus","0.0112","2.9844","GFCM GSA 26; off the coast of Egypt / 2008-2010, 2017-2018."
"113","Torquigener flavimaculosus","0.0403","2.902","Bay of Iskenderun / 2011-2012"
"114","Torquigener flavimaculosus","0.03761","2.8363","Mu?la coasts, South Aegean Sea / 2014."
"115","Torquigener flavimaculosus","0.104","2.22","Continental shelf and upper slope / 2008-2011"
"116","Sargocentron rubrum","0.0571","2.658","Rayong, Gulf of Thailand,1988"
"117","Sargocentron rubrum","0.188","2.294","lagoon"
"118","Sargocentron rubrum","0.01801","3.015","eastern Mediterranean, 1997-98"
"119","Sargocentron rubrum","0.02752","2.9984",NA
"120","Sargocentron rubrum","0.0089","3.102","off Visakhapatnam / 2014-2014"
"121","Sargocentron rubrum","0.0334","2.795","Alexandria / 2016-2016"
"122","Sargocentron rubrum","0.0198","2.976","Alexandria / 2016-2016"
"123","Sargocentron rubrum","0.0091","3.267","Iskenderun Bay / 2000-2000"
"124","Sargocentron rubrum","0.0138","3.0915","north Cyprus, Mediterranean Sea / 2016-2016"
"125","Sargocentron rubrum","0.0158","3.071","Antalya Bay / 2009-2010. "
"126","Sargocentron rubrum","0.0214","2.94","Continental shelf and upper slope / 2008-2011"
"127","Parupeneus forsskali","0.007","3.1699","Hurghada fishing area, Red Sea / 2016."
"128","Pterois miles","0.019","2.896","Rhodes Island / 2016-2017."
"129","Pterois miles","0.026","3.068","Rhodes Island / 2016-2017."
"130","Taeniurops grabatus","0.00869","3",NA
"131","Taeniurops grabatus","0.004","3.17","Mediterranean"
"132","Sparisoma cretense","0.00568","3.311","Kyclades, 1997-98"
"133","Sparisoma cretense","0.01127","3.052","Kastellorizo Island, 1985-86"
"134","Sparisoma cretense","0.0148","2.9755","Cape Verde Archipelago / 2008-2013"
"135","Sparisoma cretense","0.012","3.117","Zakynthos Island / 2013-2017."
"136","Sparisoma cretense","0.0228","2.837","Gulf of Tunis / 2016."
"137","Scarus ghobban","0.0169","3.049","lagoon"
"138","Scarus ghobban","0.0233","2.919","Lakshadweep lagoons, 1993-97"
"139","Scarus ghobban","0.0165","3.04116",NA
"140","Scarus ghobban","0.02","2.99","2009-2013"
"141","Scarus ghobban","0.0299","3.023","Davao Gulf / 2009-2012"
"142","Scarus ghobban","0.035","2.77","Egytian Red Sea coast / 2014-2016."
"143","Pagrus caeruleostictus","0.07","2.7",NA
"144","Pagrus caeruleostictus","0.0216","3.013","Gulf of Guinea, 1990"
"145","Pagrus caeruleostictus","0.0252","2.946","Gulf of Guinea, 1990"
"146","Pagrus caeruleostictus","0.0188","3.05",NA
"147","Pagrus caeruleostictus","0.0287","2.949",NA
"148","Pagrus caeruleostictus","0.0222","2.88",NA
"149","Pagrus caeruleostictus","0.0346","2.82",NA
"150","Pagrus caeruleostictus","0.02187","2.81977","West Africa"
"151","Pagrus caeruleostictus","0.0125","2.995","NE Mediterranean coast, 2001-2003"
"152","Pagrus caeruleostictus","0.0671","2.521","Iskenderun Bay / 2000-2000"
"153","Pagrus caeruleostictus","0.01","3.09","Sierra Leone coast/2016"
"154","Pagrus caeruleostictus","0.033","2.75","Continental shelf and upper slope / 2008-2011"
"155","Dasyatis pastinaca","0.0154","3.213","Moray Firth, Buchan, Butt of Lewis"
"156","Dasyatis pastinaca","0.0251","3.11",NA
"157","Dasyatis pastinaca","0.0498","2.9918","Balearic Islands / 2001-2001."
"158","Dasyatis pastinaca","0.0021","3.397","Eastern Adriatic Sea/ 1997-2001"
"159","Dasyatis pastinaca","0.0108","2.8574","North Aegean Sea, 1999-00"
"160","Dasyatis pastinaca","0.0092","2.9334","North Aegean Sea, 1999-00"
"161","Dasyatis pastinaca","0.0085","2.9379","North Aegean Sea, 1999-00"
"162","Dasyatis pastinaca","0.0149","2.81","North Aegean Sea, 2003 (March; July)"
"163","Dasyatis pastinaca","0.117","2.122","Gökceada Island (northern Aegean Sea), 2004-2022"
"164","Dasyatis pastinaca","0.0419","3.3169","Iskenderun Bay / 2010-2011."
"165","Dasyatis pastinaca","0.037","2.966","Gulf of Antalya / 2009-2010."
"166","Dasyatis pastinaca","0.1","2.74","Gulf of Antalya / 2009-2010."
"167","Dasyatis pastinaca","0.023","2.755","Gulf of Antalya / 2009-2010."
"168","Symphodus tinca","0.01286","3.068","South Euboikos Gulf / 1992-1993."
"169","Symphodus tinca","0.029","2.795","Catalan coast, 1996-98"
"170","Symphodus tinca","0.01286","3.068","G. S. Evvoikos , 1992-93"
"171","Symphodus tinca","0.02782","2.733","Kyclades, 1997-98"
"172","Symphodus tinca","0.0258","2.788","East coast, 1995"
"173","Symphodus tinca","0.0131","2.9901","Middle-eastern Adriatic Sea"
"174","Symphodus tinca","0.0296","2.7205","Middle-eastern Adriatic Sea "
"175","Symphodus tinca","0.0109","3.046","Gökceada Island (northern Aegean Sea), 2004-2027"
"176","Symphodus tinca","0.0111","3.098","Erdek Bay (27°20'- 27°52' E; 40°18'-40°28' N), Sea of Marmara, 2000-2001"
"177","Symphodus tinca","0.0131","2.893","Candarli Bay, north Aegean Sea, 2006-2008"
"178","Symphodus tinca","0.023","2.86","French Catalan coast / 2007-2010."
"179","Symphodus tinca","0.018","2.9243","Southern Agean Sea / 2009-2010."
"180","Symphodus tinca","0.0021","3.675","Iskenderun Bay / 2000-2000"
"181","Symphodus tinca","0.026","2.76","Zakynthos Island / 2013-2017."
"182","Symphodus tinca","0.019","2.848","Gulf of Tunis / 2016."
"183","Symphodus tinca","0.007","3.269","Gökçeada Island, northern Aegean Sea / 2013-2014."
"184","Fistularia commersonii","0.00056","3",NA
"185","Fistularia commersonii","0.00091","3",NA
"186","Fistularia commersonii","0.0112","2.54","Iskenderun Bay / 2007-2008"
"187","Fistularia commersonii","1e-04","3.372","Sicily (2005-2010}"
"188","Fistularia commersonii","0.0118","2.7274","Southern Agean Sea / 2009-2010."
"189","Fistularia commersonii","0.0038","2.935","GFCM GSA 26; off the coast of Egypt / 2008-2010, 2017-2018."
"190","Fistularia commersonii","1e-04","3.35","Continental shelf and upper slope / 2008-2011"
"191","Sciaena umbra","0.024","2.81","W. Mediterranean, Northern Tunisia"
"192","Sciaena umbra","0.0352","3.048","Eastern Adriatic, 1991-94"
